driver_name,code,driver_nat,circuitRef,year,round,starting_pos,finishing_pos,laps,quali_mean,driver_age,driver_dnf,car_dnf
McLaren,MAG,Danish,yas_marina,2014.0,19.0,9.0,11.0,55.0,102.151,22.0,0,0
McLaren,MAG,Danish,americas,2014.0,17.0,7.0,8.0,56.0,98.10333333333334,22.0,0,0
McLaren,MAG,Danish,red_bull_ring,2014.0,8.0,6.0,7.0,71.0,69.68966666666667,22.0,0,0
McLaren,MAG,Danish,sochi,2014.0,16.0,11.0,5.0,53.0,99.462,22.0,0,0
McLaren,SAI,Spanish,albert_park,2019.0,1.0,18.0,20.0,9.0,83.084,25.0,0,1
McLaren,SAI,Spanish,bahrain,2019.0,2.0,7.0,19.0,53.0,89.132,25.0,1,0
McLaren,SAI,Spanish,bahrain,2020.0,15.0,15.0,5.0,57.0,88.975,26.0,0,0
McLaren,SAI,Spanish,bahrain,2020.0,16.0,8.0,4.0,87.0,54.092666666666666,26.0,0,0
McLaren,SAI,Spanish,catalunya,2019.0,5.0,12.0,8.0,66.0,77.6795,25.0,0,0
McLaren,SAI,Spanish,catalunya,2020.0,6.0,7.0,6.0,65.0,77.11933333333333,26.0,0,0
McLaren,SAI,Spanish,istanbul,2020.0,14.0,15.0,5.0,58.0,121.4495,26.0,0,0
McLaren,SAI,Spanish,monaco,2019.0,6.0,9.0,6.0,78.0,71.63233333333334,25.0,0,0
McLaren,SAI,Spanish,villeneuve,2019.0,7.0,11.0,11.0,69.0,72.43433333333333,25.0,0,0
McLaren,SAI,Spanish,silverstone,2019.0,10.0,13.0,6.0,52.0,86.3905,25.0,0,0
McLaren,SAI,Spanish,silverstone,2020.0,4.0,7.0,13.0,52.0,86.27633333333334,26.0,0,0
McLaren,SAI,Spanish,silverstone,2020.0,5.0,12.0,13.0,52.0,87.26650000000001,26.0,0,0
McLaren,SAI,Spanish,hockenheimring,2019.0,11.0,7.0,5.0,64.0,72.91666666666667,25.0,0,0
McLaren,SAI,Spanish,hungaroring,2019.0,12.0,8.0,5.0,69.0,76.21766666666666,25.0,0,0
McLaren,SAI,Spanish,hungaroring,2020.0,3.0,9.0,9.0,69.0,75.19166666666666,26.0,0,0
McLaren,SAI,Spanish,spa,2019.0,13.0,15.0,19.0,1.0,106.507,25.0,0,1
McLaren,SAI,Spanish,spa,2020.0,7.0,7.0,20.0,0.0,102.746,26.0,0,1
McLaren,SAI,Spanish,monza,2019.0,14.0,7.0,20.0,27.0,80.35666666666667,25.0,0,1
McLaren,SAI,Spanish,monza,2020.0,8.0,3.0,2.0,53.0,79.833,26.0,0,0
McLaren,SAI,Spanish,marina_bay,2019.0,15.0,7.0,12.0,61.0,98.22733333333333,25.0,0,0
McLaren,SAI,Spanish,shanghai,2019.0,3.0,14.0,14.0,55.0,93.6045,25.0,0,0
McLaren,SAI,Spanish,interlagos,2019.0,20.0,20.0,3.0,71.0,141.611,25.0,0,0
McLaren,SAI,Spanish,nurburgring,2020.0,11.0,10.0,5.0,60.0,86.81599999999999,26.0,0,0
McLaren,SAI,Spanish,imola,2020.0,13.0,10.0,7.0,63.0,75.15533333333333,26.0,0,0
McLaren,SAI,Spanish,suzuka,2019.0,17.0,7.0,5.0,52.0,88.633,25.0,0,0
McLaren,SAI,Spanish,yas_marina,2019.0,21.0,8.0,10.0,54.0,96.70833333333333,25.0,0,0
McLaren,SAI,Spanish,yas_marina,2020.0,17.0,6.0,6.0,55.0,96.17466666666667,26.0,0,0
McLaren,SAI,Spanish,rodriguez,2019.0,18.0,7.0,13.0,70.0,76.44166666666666,25.0,0,0
McLaren,SAI,Spanish,ricard,2019.0,8.0,6.0,6.0,53.0,90.30466666666666,25.0,0,0
McLaren,SAI,Spanish,americas,2019.0,19.0,7.0,8.0,55.0,93.395,25.0,0,0
McLaren,SAI,Spanish,red_bull_ring,2019.0,9.0,19.0,8.0,70.0,69.027,25.0,0,0
McLaren,SAI,Spanish,red_bull_ring,2020.0,1.0,8.0,5.0,71.0,64.15966666666667,26.0,0,0
McLaren,SAI,Spanish,red_bull_ring,2020.0,2.0,3.0,9.0,70.0,79.36566666666666,26.0,0,0
McLaren,SAI,Spanish,sochi,2019.0,16.0,5.0,6.0,53.0,93.73766666666666,25.0,0,0
McLaren,SAI,Spanish,sochi,2020.0,10.0,6.0,19.0,0.0,93.09133333333334,26.0,1,0
McLaren,SAI,Spanish,baku,2019.0,4.0,9.0,7.0,51.0,102.167,25.0,0,0
McLaren,SAI,Spanish,portimao,2020.0,12.0,7.0,6.0,65.0,77.44333333333333,26.0,0,0
McLaren,SAI,Spanish,mugello,2020.0,9.0,9.0,18.0,5.0,77.12833333333333,26.0,1,0
McLaren,VAN,Belgian,albert_park,2017.0,1.0,18.0,13.0,55.0,86.858,25.0,0,0
McLaren,VAN,Belgian,albert_park,2018.0,1.0,11.0,9.0,58.0,83.963,26.0,0,0
McLaren,VAN,Belgian,sepang,2017.0,15.0,7.0,7.0,55.0,92.08933333333333,25.0,0,0
McLaren,VAN,Belgian,bahrain,2016.0,2.0,12.0,10.0,56.0,92.203,24.0,0,0
McLaren,VAN,Belgian,bahrain,2017.0,3.0,17.0,20.0,0.0,92.313,25.0,0,1
McLaren,VAN,Belgian,bahrain,2018.0,2.0,14.0,8.0,56.0,90.50200000000001,26.0,0,0
McLaren,VAN,Belgian,catalunya,2017.0,5.0,20.0,18.0,32.0,82.532,25.0,1,0
McLaren,VAN,Belgian,catalunya,2018.0,5.0,11.0,15.0,45.0,78.604,26.0,0,1
McLaren,VAN,Belgian,monaco,2017.0,6.0,12.0,16.0,66.0,73.3625,25.0,1,0
McLaren,VAN,Belgian,monaco,2018.0,6.0,12.0,14.0,77.0,72.4515,26.0,0,0
McLaren,VAN,Belgian,villeneuve,2017.0,7.0,16.0,14.0,69.0,74.182,25.0,0,0
McLaren,VAN,Belgian,villeneuve,2018.0,7.0,15.0,16.0,66.0,72.9315,26.0,0,0
McLaren,VAN,Belgian,silverstone,2017.0,10.0,8.0,11.0,50.0,93.178,25.0,0,0
McLaren,VAN,Belgian,silverstone,2018.0,10.0,17.0,11.0,52.0,89.096,26.0,0,0
McLaren,VAN,Belgian,hockenheimring,2018.0,11.0,19.0,13.0,67.0,74.401,26.0,0,0
McLaren,VAN,Belgian,hungaroring,2017.0,11.0,8.0,10.0,69.0,78.12433333333333,25.0,0,0
McLaren,VAN,Belgian,hungaroring,2018.0,12.0,16.0,18.0,49.0,78.782,26.0,0,1
McLaren,VAN,Belgian,spa,2017.0,12.0,20.0,14.0,44.0,105.441,25.0,0,0
McLaren,VAN,Belgian,spa,2018.0,13.0,18.0,15.0,43.0,105.307,26.0,0,0
McLaren,VAN,Belgian,monza,2017.0,13.0,18.0,19.0,33.0,98.46499999999999,25.0,0,1
McLaren,VAN,Belgian,monza,2018.0,14.0,17.0,12.0,52.0,82.085,26.0,0,0
McLaren,VAN,Belgian,marina_bay,2017.0,14.0,9.0,7.0,58.0,101.61566666666666,25.0,0,0
McLaren,VAN,Belgian,marina_bay,2018.0,15.0,18.0,12.0,60.0,99.864,26.0,0,0
McLaren,VAN,Belgian,shanghai,2017.0,2.0,15.0,18.0,17.0,95.023,25.0,0,1
